timestamp_ms,rss_bytes,process_cpu_time_s,minor_faults,major_faults,jitter_min_ns,jitter_avg_ns,jitter_max_ns,rt_loop_cpu_time_s,rx_bytes_per_s,tx_bytes_per_s,rt_nr_switches,rt_nr_voluntary_switches,rt_nr_involuntary_switches
1769774325109,20721664,1.670000,1072,0,331,7078,1173938 ,,547982.834,410298.524,9775,5968,3807
1769774326109,21508096,3.580000,1222,0,352,782,5591 ,,105720.447,114639.592,17758,7466,10292
1769774327110,21925888,5.580000,1324,0,341,1783,730308 ,,1244955.257,133329.525,25764,8947,16817
1769774328110,22294528,7.580000,1414,0,352,799,11341 ,,106365.144,113644.184,33634,10434,23200
1769774329111,22347776,9.590000,1427,0,361,775,8396 ,,105676.025,113781.732,41576,11946,29630
1769774330111,22396928,11.610000,1439,0,371,800,28934 ,,105794.373,116024.801,49522,13428,36094
1769774331112,22417408,13.610000,1444,0,351,749,17594 ,,105601.330,113497.093,57497,14919,42578
1769774332112,22441984,15.610000,1450,0,361,787,17343 ,,105915.480,114003.164,65467,16414,49053
1769774333113,22462464,17.630000,1455,0,331,756,5230 ,,105616.111,113224.085,73326,17895,55431
1769774334113,22487040,19.630000,1461,0,321,1174,408876 ,,105781.282,115867.873,81149,19384,61765
1769774335114,22528000,21.630000,1471,0,331,773,14647 ,,105736.227,114065.834,89004,20868,68136
1769774336115,22548480,23.630000,1476,0,311,800,4529 ,,107530.489,115018.484,96958,22361,74597
1769774337115,22573056,25.640000,1482,0,331,759,5190 ,,105722.547,115061.648,104891,23856,81035
1769774338116,22593536,27.660000,1487,0,351,1058,322835 ,,105729.228,114559.986,112841,25348,87493
1769774339116,22618112,29.650000,1493,0,331,2226,1178967 ,,105771.164,113635.012,120708,26826,93882
1769774340117,22638592,31.660000,1498,0,351,778,4499 ,,105723.084,113824.875,128603,28322,100281
1769774341117,22663168,33.660000,1504,0,351,793,5530 ,,107087.766,119744.120,136547,29817,106730
1769774342118,22700032,35.660000,1513,0,332,1972,780312 ,,105648.756,113350.728,144323,31305,113018
1769774343118,22720512,37.660000,1518,0,321,933,133350 ,,106382.868,114117.786,152327,32798,119529
1769774344119,22745088,39.670000,1524,0,361,793,5211 ,,105736.101,113434.031,160376,34294,126082
1769774345119,22765568,41.680000,1529,0,341,804,16671 ,,105825.311,115853.276,168305,35784,132521
1769774346120,22790144,43.690000,1535,0,321,761,2415 ,,105976.662,114034.455,176246,37280,138966
1769774347120,22802432,45.690000,1538,0,331,942,145333 ,,105662.322,113614.132,184123,38778,145345
1769774348150,22802432,47.700000,1538,0,341,785,4890 ,,106124.294,115460.768,192394,40297,152097
